listing_id,date
866701,5/26/17
991824,5/26/17
1328770,5/26/17
2522970,5/26/17
4919286,5/26/17
5789730,5/26/17
8836008,5/26/17
9063100,5/26/17
9194055,5/26/17
9790385,5/26/17
9911810,5/26/17
10050755,5/26/17
10286773,5/26/17
10845191,5/26/17
11007796,5/26/17
12746696,5/26/17
13426813,5/26/17
13601093,5/26/17
14527835,5/26/17
14855524,5/26/17
15855343,5/26/17
16036573,5/26/17
18219944,5/26/17
18507108,5/26/17
842077,5/25/17
1585405,5/25/17
1986344,5/25/17
2194840,5/25/17
2427717,5/25/17
3025379,5/25/17
4178600,5/25/17
4310567,5/25/17
5040147,5/25/17
5345806,5/25/17
6280548,5/25/17
8587634,5/25/17
8766126,5/25/17
9194055,5/25/17
9448044,5/25/17
9809677,5/25/17
9911810,5/25/17
10741934,5/25/17
10743570,5/25/17
12247552,5/25/17
12286985,5/25/17
13799108,5/25/17
14855524,5/25/17
15076348,5/25/17
15855343,5/25/17
16107337,5/25/17
17096268,5/25/17
1266888,5/24/17
2682808,5/24/17
5578067,5/24/17
6463582,5/24/17
6670508,5/24/17
7262234,5/24/17
7298474,5/24/17
9194055,5/24/17
9913124,5/24/17
11677039,5/24/17
15349356,5/24/17
16036573,5/24/17
17470798,5/24/17
17756295,5/24/17
8929714,5/23/17
9194055,5/23/17
9809677,5/23/17
9911810,5/23/17
12215914,5/23/17
12340596,5/23/17
12452412,5/23/17
12959452,5/23/17
13426813,5/23/17
14345431,5/23/17
14780607,5/23/17
16682067,5/23/17
16835869,5/23/17
17692002,5/23/17
1585405,5/22/17
1986344,5/22/17
2194840,5/22/17
2522970,5/22/17
3202647,5/22/17
5223125,5/22/17
5575185,5/22/17
6418099,5/22/17
6585827,5/22/17
8766126,5/22/17
9809677,5/22/17
10050755,5/22/17
10790061,5/22/17
10865022,5/22/17
12862721,5/22/17
14798944,5/22/17
15270962,5/22/17
16238598,5/22/17
16254424,5/22/17
18507108,5/22/17
866701,5/21/17
891355,5/21/17
1038791,5/21/17
1108491,5/21/17
2069688,5/21/17
2507353,5/21/17
2820108,5/21/17
3048594,5/21/17
3540493,5/21/17
3969576,5/21/17
4178600,5/21/17
4919286,5/21/17
5345806,5/21/17
5379855,5/21/17
7262234,5/21/17
7298474,5/21/17
7427332,5/21/17
7909292,5/21/17
7977950,5/21/17
8360000,5/21/17
8769507,5/21/17
8929714,5/21/17
9194055,5/21/17
9444419,5/21/17
9487949,5/21/17
9911810,5/21/17
9913124,5/21/17
10604260,5/21/17
10743570,5/21/17
11007796,5/21/17
11594953,5/21/17
12238423,5/21/17
12443915,5/21/17
12746696,5/21/17
13426813,5/21/17
13427359,5/21/17
13527996,5/21/17
13601093,5/21/17
14527835,5/21/17
14649863,5/21/17
14855524,5/21/17
15187966,5/21/17
15280340,5/21/17
15559101,5/21/17
15855343,5/21/17
15949936,5/21/17
15952890,5/21/17
16013999,5/21/17
16228171,5/21/17
16723796,5/21/17
16891439,5/21/17
17115288,5/21/17
17377402,5/21/17
17470798,5/21/17
17692002,5/21/17
17756295,5/21/17
18386196,5/21/17
18410477,5/21/17
18564682,5/21/17
1585405,5/20/17
2522970,5/20/17
4444232,5/20/17
4502646,5/20/17
7819865,5/20/17
8599666,5/20/17
8929714,5/20/17
9809677,5/20/17
10286773,5/20/17
10845191,5/20/17
12340596,5/20/17
13601093,5/20/17
15855343,5/20/17
17705145,5/20/17
18219944,5/20/17
891355,5/19/17
2194840,5/19/17
4480525,5/19/17
4502646,5/19/17
6280548,5/19/17
7041474,5/19/17
8766126,5/19/17
10845191,5/19/17
12452412,5/19/17
15122446,5/19/17
17917415,5/19/17
3540493,5/18/17
5223125,5/18/17
7738154,5/18/17
8766126,5/18/17
9194055,5/18/17
9809677,5/18/17
10422112,5/18/17
10741934,5/18/17
10790061,5/18/17
13426813,5/18/17
14798944,5/18/17
15855343,5/18/17
16291478,5/18/17
17692002,5/18/17
1108491,5/17/17
1986344,5/17/17
9063100,5/17/17
10015096,5/17/17
10845191,5/17/17
10865022,5/17/17
12340596,5/17/17
12452412,5/17/17
16612557,5/17/17
1986344,5/16/17
2682808,5/16/17
7649576,5/16/17
7814882,5/16/17
9194055,5/16/17
9790385,5/16/17
11054114,5/16/17
12959452,5/16/17
13426813,5/16/17
14527835,5/16/17
15855343,5/16/17
15949936,5/16/17
17378579,5/16/17
18219944,5/16/17
116134,5/15/17
1108491,5/15/17
1534890,5/15/17
2194840,5/15/17
6280548,5/15/17
6670508,5/15/17
7552929,5/15/17
7738154,5/15/17
10604260,5/15/17
10845191,5/15/17
12215914,5/15/17
12247552,5/15/17
12286985,5/15/17
15349356,5/15/17
15559101,5/15/17
16107337,5/15/17
16682067,5/15/17
18146639,5/15/17
18386196,5/15/17
116134,5/14/17
842077,5/14/17
1038791,5/14/17
1585405,5/14/17
1986344,5/14/17
2069688,5/14/17
2427717,5/14/17
2522970,5/14/17
2819412,5/14/17
3048594,5/14/17
3540493,5/14/17
3969576,5/14/17
4310567,5/14/17
4919286,5/14/17
5047962,5/14/17
7262234,5/14/17
7427332,5/14/17
7814882,5/14/17
8360000,5/14/17
8499321,5/14/17
8514381,5/14/17
8587634,5/14/17
8599666,5/14/17
8766126,5/14/17
8836008,5/14/17
8865330,5/14/17
8929714,5/14/17
8965535,5/14/17
9194055,5/14/17
9487949,5/14/17
9911810,5/14/17
10693965,5/14/17
10702272,5/14/17
10743570,5/14/17
11111703,5/14/17
11649861,5/14/17
12238423,5/14/17
12340596,5/14/17
12425295,5/14/17
12443915,5/14/17
12637515,5/14/17
12746696,5/14/17
12862721,5/14/17
12959452,5/14/17
13350400,5/14/17
13426813,5/14/17
13427359,5/14/17
13601093,5/14/17
14345431,5/14/17
14798944,5/14/17
15292817,5/14/17
15371998,5/14/17
15855343,5/14/17
16036573,5/14/17
16107337,5/14/17
16228171,5/14/17
16291478,5/14/17
16753399,5/14/17
17011231,5/14/17
17266710,5/14/17
17470798,5/14/17
18080201,5/14/17
18371407,5/14/17
18564682,5/14/17
842077,5/13/17
5382509,5/13/17
7067067,5/13/17
7513572,5/13/17
7551621,5/13/17
8587634,5/13/17
8836008,5/13/17
8853612,5/13/17
9170457,5/13/17
9194055,5/13/17
9489437,5/13/17
10845191,5/13/17
10865022,5/13/17
11649861,5/13/17
11859199,5/13/17
14527835,5/13/17
16835869,5/13/17
1038791,5/12/17
2194840,5/12/17
2543695,5/12/17
3969576,5/12/17
4502646,5/12/17
5047962,5/12/17
5223125,5/12/17
6280548,5/12/17
8587634,5/12/17
8766126,5/12/17
9063100,5/12/17
9790385,5/12/17
10743570,5/12/17
12646547,5/12/17
13350400,5/12/17
13601093,5/12/17
14060986,5/12/17
14798944,5/12/17
15122446,5/12/17
15808837,5/12/17
15855343,5/12/17
16671362,5/12/17
17011231,5/12/17
17692002,5/12/17
1105318,5/11/17
1986344,5/11/17
4322521,5/11/17
5575185,5/11/17
6585827,5/11/17
8024200,5/11/17
8514381,5/11/17
8587634,5/11/17
8836008,5/11/17
9809677,5/11/17
9911810,5/11/17
10015096,5/11/17
10845191,5/11/17
12959452,5/11/17
13027951,5/11/17
14345431,5/11/17
15349356,5/11/17
15855343,5/11/17
16238598,5/11/17
17470798,5/11/17
17692002,5/11/17
1108491,5/10/17
1534890,5/10/17
2522970,5/10/17
3540493,5/10/17
3969576,5/10/17
4592434,5/10/17
5578067,5/10/17
6051973,5/10/17
7365174,5/10/17
7814882,5/10/17
8587634,5/10/17
9911810,5/10/17
10286773,5/10/17
11594953,5/10/17
11677039,5/10/17
12340596,5/10/17
12452412,5/10/17
12637515,5/10/17
13427359,5/10/17
13601093,5/10/17
14798944,5/10/17
15354236,5/10/17
16107337,5/10/17
16228171,5/10/17
17470798,5/10/17
866701,5/9/17
1038791,5/9/17
1986344,5/9/17
2194840,5/9/17
2522970,5/9/17
2682808,5/9/17
3969576,5/9/17
4444232,5/9/17
7041474,5/9/17
7262234,5/9/17
8587634,5/9/17
9194055,5/9/17
9809677,5/9/17
12340596,5/9/17
12637515,5/9/17
14855524,5/9/17
16682067,5/9/17
17692002,5/9/17
18146639,5/9/17
116134,5/8/17
2682808,5/8/17
3969576,5/8/17
4502646,5/8/17
6670508,5/8/17
8360000,5/8/17
8599666,5/8/17
8766126,5/8/17
9487949,5/8/17
9790385,5/8/17
10422112,5/8/17
10604260,5/8/17
11898838,5/8/17
12238423,5/8/17
12862721,5/8/17
13350400,5/8/17
13426813,5/8/17
15292817,5/8/17
15855343,5/8/17
16107337,5/8/17
16225766,5/8/17
17096268,5/8/17
17266710,5/8/17
17470798,5/8/17
17692002,5/8/17
18564682,5/8/17
18564682,5/8/17
1105318,5/7/17
1292916,5/7/17
1328770,5/7/17
1585405,5/7/17
1808782,5/7/17
2427717,5/7/17
2522970,5/7/17
2819790,5/7/17
3048594,5/7/17
4480525,5/7/17
5223125,5/7/17
5578067,5/7/17
6280548,5/7/17
6418099,5/7/17
6657248,5/7/17
7427332,5/7/17
7513572,5/7/17
7551621,5/7/17
7909292,5/7/17
8104534,5/7/17
8769507,5/7/17
8865330,5/7/17
8929714,5/7/17
8965535,5/7/17
9063100,5/7/17
9913124,5/7/17
10170353,5/7/17
10865022,5/7/17
12286985,5/7/17
12443915,5/7/17
12637515,5/7/17
12746696,5/7/17
13027951,5/7/17
13527996,5/7/17
13601093,5/7/17
14527835,5/7/17
15270962,5/7/17
16036573,5/7/17
16096485,5/7/17
16107337,5/7/17
16228171,5/7/17
17011231,5/7/17
17705145,5/7/17
17756295,5/7/17
866701,5/6/17
3540493,5/6/17
5578067,5/6/17
7298474,5/6/17
8587634,5/6/17
8605552,5/6/17
8769507,5/6/17
8865330,5/6/17
9194055,5/6/17
9790385,5/6/17
9911810,5/6/17
10845191,5/6/17
12340596,5/6/17
12637515,5/6/17
13738103,5/6/17
14798944,5/6/17
16013999,5/6/17
16422012,5/6/17
16835869,5/6/17
17470798,5/6/17
17692002,5/6/17
1328770,5/5/17
2194840,5/5/17
4502646,5/5/17
5026455,5/5/17
6585827,5/5/17
8360000,5/5/17
9913124,5/5/17
11677039,5/5/17
11859199,5/5/17
12238423,5/5/17
12286985,5/5/17
13306153,5/5/17
14527835,5/5/17
15855343,5/5/17
16107337,5/5/17
16317800,5/5/17
1585405,5/4/17
1785355,5/4/17
1986344,5/4/17
2194840,5/4/17
4502646,5/4/17
5223125,5/4/17
7738154,5/4/17
8929714,5/4/17
9194055,5/4/17
10741934,5/4/17
12746696,5/4/17
13426813,5/4/17
13601093,5/4/17
14855524,5/4/17
15349356,5/4/17
16682067,5/4/17
1108491,5/3/17
2522970,5/3/17
7298474,5/3/17
7649576,5/3/17
8587634,5/3/17
9181548,5/3/17
9194055,5/3/17
9809677,5/3/17
9911810,5/3/17
10604260,5/3/17
15855343,5/3/17
16228171,5/3/17
16269392,5/3/17
16269392,5/3/17
17470798,5/3/17
